customer_id,product_id,purchase_count
CUST000001,PROD00262,1
CUST000001,PROD00363,1
CUST000002,PROD00025,1
CUST000002,PROD00096,1
CUST000002,PROD00168,1
CUST000002,PROD00198,1
CUST000002,PROD00294,1
CUST000002,PROD00303,1
CUST000002,PROD00381,1
CUST000002,PROD00429,1
CUST000003,PROD00090,1
CUST000003,PROD00163,1
CUST000003,PROD00171,1
CUST000003,PROD00206,1
CUST000003,PROD00237,1
CUST000003,PROD00318,1
CUST000003,PROD00429,1
CUST000004,PROD00023,1
CUST000004,PROD00030,1
CUST000004,PROD00052,1
CUST000004,PROD00146,1
CUST000004,PROD00343,1
CUST000004,PROD00418,1
CUST000004,PROD00461,1
CUST000004,PROD00486,1
CUST000005,PROD00042,1
CUST000005,PROD00134,1
CUST000005,PROD00221,1
CUST000005,PROD00293,1
CUST000005,PROD00301,1
CUST000005,PROD00322,1
CUST000005,PROD00388,1
CUST000005,PROD00418,1
CUST000006,PROD00051,1
CUST000006,PROD00065,1
CUST000006,PROD00127,1
CUST000006,PROD00206,1
CUST000006,PROD00286,1
CUST000006,PROD00427,1
CUST000006,PROD00499,1
CUST000007,PROD00084,1
CUST000007,PROD00107,1
CUST000007,PROD00135,1
CUST000007,PROD00177,1
CUST000007,PROD00228,1
CUST000007,PROD00276,1
CUST000007,PROD00370,1
CUST000007,PROD00424,1
CUST000007,PROD00494,1
CUST000007,PROD00500,1
CUST000008,PROD00014,1
CUST000008,PROD00024,1
CUST000008,PROD00075,1
CUST000008,PROD00147,1
CUST000008,PROD00188,1
CUST000008,PROD00200,1
CUST000008,PROD00287,1
CUST000008,PROD00336,1
CUST000009,PROD00037,1
CUST000009,PROD00051,1
CUST000009,PROD00143,1
CUST000009,PROD00150,1
CUST000009,PROD00403,1
CUST000009,PROD00415,1
CUST000010,PROD00026,1
CUST000010,PROD00058,1
CUST000010,PROD00068,1
CUST000010,PROD00166,1
CUST000010,PROD00250,1
CUST000010,PROD00270,1
CUST000010,PROD00274,1
CUST000010,PROD00316,1
CUST000010,PROD00321,1
CUST000011,PROD00021,1
CUST000011,PROD00057,1
CUST000011,PROD00093,1
CUST000011,PROD00098,1
CUST000011,PROD00184,1
CUST000011,PROD00195,1
CUST000011,PROD00210,1
CUST000011,PROD00262,1
CUST000011,PROD00311,1
CUST000011,PROD00324,1
CUST000011,PROD00417,1
CUST000012,PROD00084,1
CUST000012,PROD00131,1
CUST000012,PROD00146,1
CUST000012,PROD00212,1
CUST000012,PROD00314,1
CUST000013,PROD00025,1
CUST000013,PROD00038,1
CUST000013,PROD00138,1
CUST000013,PROD00259,1
CUST000013,PROD00266,1
CUST000014,PROD00094,1
CUST000014,PROD00098,1
CUST000014,PROD00156,1
CUST000014,PROD00205,1
CUST000014,PROD00212,1
CUST000014,PROD00345,1
CUST000014,PROD00454,1
CUST000014,PROD00462,1
CUST000015,PROD00180,1
CUST000015,PROD00252,1
CUST000015,PROD00325,1
CUST000015,PROD00415,1
CUST000016,PROD00050,1
CUST000016,PROD00127,1
CUST000016,PROD00139,1
